Amegilla sp;Amegilla
Andrena barbarea;?
Andrena corsubalpina;Andrena corssubalpina
Andrena gr proxima;Andrena proxima
Andrena thomsonii; ?
Andrena truncatilabris truncatilabris;Andrena truncatilabris
Anthophora plumipes niger;Anthophora plumipes
Anthophora retusa meridionalis;Anthophora retusa var. meridionalis
Anthophora sicheli;Anthophora sichelii
Anthophora sp;Anthophora
Apis mellifera cecropia;Apis mellifera ligustica / Apis mellifera
Apis mellifera iberiensis;Apis mellifera ligustica / Apis mellifera
Apis mellifera ruttneri;Apis mellifera ligustica / Apis mellifera 
Apis mellifera siciliana;Apis mellifera ligustica / Apis mellifera
Bombus hortorum ruderatus; Bombus hortorum 
Bombus humilis humilis;Bombus humilis
Bombus lapidarius decipiens;Bombus lapidarius
Bombus lucorum magnus;Bombus lucorum
Bombus monticola rondoui;Bombus monticola
Bombus monticola scandinavicus;Bombus monticola
Bombus norvegicus sylvestris;Bombus sylvestris
Bombus pascuorum dusmeti;Bombus pascuorum
Bombus pascuorum gotlandicus;Bombus pascuorum
Bombus pascuorum mniorum;Bombus pascuorum
Bombus pascuorum moorselensis;Bombus pascuorum
Bombus pascuorum olympicus;Bombus pascuorum
Bombus pascuorum pallidofacies;Bombus pascuorum
Bombus pascuorum siciliensis;Bombus pascuorum
Bombus pascuorum smithianus;Bombus pascuorum
Bombus pascuorum sparreanus;Bombus pascuorum
Bombus sichelii,Bombus sichelii
Bombus sp;Bombus
Bombus terrestris audax;Bombus terrestris
Bombus wurfleini
Coelioxys sp;Coelioxys
Eucera elongulata
Eucera hispaliensis
Eucera sp;Eucera
Holandrena sp;Holandrena
Hoplitis mucidoides
Hylaeus sp;Hylaeus
Lasioglossum calceatus
Lasioglossum sphecodimorphum
Megachile sculptularis
Megachile sculptularis
Melliturga clavicornis
Nomada sp;Nomada
Osmia mustelina
Panurginus albopilosus
Panurgus sp;Panurgus
Rhodanthidium stictitum
Seladonia gavarnicus delphinalis
Seladonia gr. smaragdula
Stelis phaeroptera
Stelis punctulatissimum
Taeniandrena sp;Taeniandrena
